來源品牌,實驗,輸出品牌,輸出ID,信心,路徑,符合提案ID
GB 綠鐘,現有,gb,4405709,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
GB 綠鐘,只加對照,gb,4405709,45,1.5 品牌欄相符（多個不同品牌，需確認）,False
GB 綠鐘,隔離衝突auto再加對照,GREEN BELL,1124530,98,1.3 品牌欄完全相符,True
HH 草本新淨界,現有,H&H,1120001,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
HH 草本新淨界,只加對照,H&H,1120001,45,1.5 品牌欄相符（多個不同品牌，需確認）,False
HH 草本新淨界,隔離衝突auto再加對照,Herb & Health,1111148,98,1.3 品牌欄完全相符,True
JS 婕洛妮絲,現有,JS,5712923,87,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
JS 婕洛妮絲,只加對照,jealousness,3472328,98,1.3 品牌欄完全相符,True
JS 婕洛妮絲,隔離衝突auto再加對照,jealousness,3472328,98,1.3 品牌欄完全相符,True
GP 超霸,現有,G.P,1119972,87,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
GP 超霸,只加對照,GP Batteries,1146524,98,1.3 品牌欄完全相符,True
GP 超霸,隔離衝突auto再加對照,GP Batteries,1146524,98,1.3 品牌欄完全相符,True
KUM 熊野,現有,KUM,1094859,98,1.3 品牌欄完全相符,False
KUM 熊野,只加對照,KUM,1094859,45,1.5 品牌欄相符（多個不同品牌，需確認）,False
KUM 熊野,隔離衝突auto再加對照,Kumano 熊野油脂,1136616,45,1.5 品牌欄相符（多個不同品牌，需確認）,True
H&R 安室家,現有,H&R,5131488,87,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
H&R 安室家,只加對照,H&R,5131488,87,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
H&R 安室家,隔離衝突auto再加對照,H&R,5131488,87,1.4 品牌欄相符（品牌庫有重複，取業績最高）,False
